school_year,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,latitude,longitude,distance_downtown_kc_miles,operational_status,is_operating,school_type,is_charter,grade_span,grade_span_low,grade_span_high,lowest_grade,highest_grade,locale_code_year,locale_desc_year,locale_group_year,locale_code,locale_desc,locale_group,virtual_status_desc,is_virtual,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,has_pre_k,is_standalone_pk,classroom_teacher_fte,teacher_fte_valid,students_per_classroom_teacher_fte_allgrades,frl_eligible,frl_rate,frl_observed,analytical_stratum,years_observed_count,years_operating_count,first_observed_school_year,last_observed_school_year,balanced_panel_eligible,grade_span_changed_any,lea_changed_any,school_type_changed_any,locale_changed_any,locale_code_fixed_2024_2025,locale_group_fixed_2024_2025,school_level
2014-2015,200795001390,2007950,Silver City Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.06776,-94.65762,4.91,1,True,Regular School,False,PK-05,PK,05,PK,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,330.0,20.0,310.0,43.0,True,False,21.6,True,15.28,311.0,0.9424,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
2014-2015,200795001392,2007950,Chelsea Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.124572,-94.656867,4.5,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,669.0,0.0,669.0,113.0,False,False,36.2,True,18.48,631.0,0.9432,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
2014-2015,200795001393,2007950,Douglass Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.119175,-94.633056,3.17,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,404.0,0.0,404.0,66.0,False,False,25.3,True,15.97,386.0,0.9554,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200795001394,2007950,Thomas A Edison Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.04769,-94.63519,4.89,1,True,Regular School,False,PK-05,PK,05,PK,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,368.0,19.0,349.0,66.0,True,False,21.5,True,17.12,341.0,0.9266,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200795001395,2007950,Emerson Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.07455,-94.66225,4.92,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,210.0,0.0,210.0,34.0,False,False,13.7,True,15.33,202.0,0.9619,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
2014-2015,200795001397,2007950,John Fiske Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.086232,-94.64163,3.6,1,True,Regular School,False,PK-05,PK,05,PK,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,1055.0,553.0,502.0,86.0,True,False,19.1,True,55.24,847.0,0.8028,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200795001398,2007950,Grant Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.121242,-94.619177,2.56,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,338.0,0.0,338.0,73.0,False,False,16.5,True,20.48,327.0,0.9675,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
2014-2015,200795001399,2007950,Bertram Caruthers Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.132628,-94.638445,3.85,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,270.0,0.0,270.0,45.0,False,False,16.9,True,15.98,259.0,0.9593,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200795001401,2007950,Mark Twain Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.11615,-94.655181,4.25,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,304.0,0.0,304.0,60.0,False,False,17.3,True,17.57,293.0,0.9638,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
2014-2015,200795001405,2007950,Noble Prentis Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,39.05901,-94.64429,4.67,1,True,Regular School,False,KG-05,KG,05,KG,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,236.0,0.0,236.0,44.0,False,False,12.9,True,18.29,203.0,0.8602,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,12,City,Primary
