nces_lea_id,district_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,enrollment_elem,enrollment_middle,enrollment_high,enrollment_ungraded,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,idea_students,sped_teacher_fte,sped_paraprofessional_fte,english_learner_students,title3_teacher_count,idea_students_per_sped_teacher_fte,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,psychologists_per_1000,student_support_per_1000,coordinators_per_1000,school_administrators_per_1000,school_year
2012360,Turner-Kansas City,KS,Wyandotte County,8,8,3926,218,3708,264,1338,885,1158,63,9.0,28.88,151.96,80.63,0.0,270.47,261.47,0.0,44.9,6.33,9.2,2.0,46.7,4.0,10.0,15.9,5.0,11.0,84.0,510.4,,,,,,,14.18,12.1,70.52,12.11,2.48,0.54,12.59,1.71,2.7,2024-2025
2900009,DIVISION OF YOUTH SERVICE,MO,Clay County,5,4,496,0,496,0,0,56,440,0,0.0,0.0,0.0,74.0,0.0,74.0,74.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,,,,,,6.7,6.7,149.19,0.0,0.0,0.0,2.02,10.08,0.0,2024-2025
2900013,KC INTERNATIONAL ACADEMY,MO,Jackson County,1,1,662,28,634,61,354,219,0,0,0.0,7.58,73.12,0.0,0.0,80.7,80.7,0.0,4.0,4.0,3.0,0.0,14.75,0.0,3.0,0.0,1.0,0.0,0.0,110.45,,,,,,,7.86,7.49,127.29,6.31,4.73,0.0,23.26,6.31,4.73,2024-2025
2900014,HOGAN PREPARATORY ACADEMY,MO,Jackson County,3,3,843,33,810,39,260,193,318,0,0.0,3.0,33.0,55.5,0.0,91.5,91.5,0.0,0.0,0.0,3.0,0.0,4.0,0.0,5.5,1.0,0.0,7.0,0.0,112.0,,,,,,,8.85,8.85,112.96,0.0,3.7,0.0,4.94,0.0,6.79,2024-2025
2900015,GORDON PARKS ELEM.,MO,Jackson County,1,1,131,14,117,30,87,0,0,0,0.0,2.74,10.26,0.0,0.0,13.0,13.0,0.0,7.0,2.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,25.75,,,,,,,9.0,5.85,111.11,59.83,6.41,0.0,0.0,17.09,8.55,2024-2025
2900016,GENESIS SCHOOL INC.,MO,Jackson County,1,1,180,8,172,13,83,76,0,0,1.0,1.11,0.0,16.89,0.0,19.0,18.0,0.0,8.0,1.5,0.0,0.0,7.0,0.0,2.0,0.0,0.0,4.0,1.0,42.5,,,,,,,9.56,6.62,104.65,46.51,0.0,0.0,40.7,8.72,11.63,2024-2025
2900017,ACADEMIE LAFAYETTE,MO,Jackson County,4,4,1425,12,1413,180,820,295,118,0,0.0,11.79,59.61,46.4,0.0,117.8,117.8,0.0,2.75,0.0,1.0,0.0,9.0,2.0,6.0,0.0,1.0,20.0,16.25,175.8,,,,,,,11.99,11.72,83.37,1.95,0.71,0.0,6.37,0.0,4.25,2024-2025
2900019,SCUOLA VITA NUOVA,MO,Jackson County,1,1,363,0,363,40,215,108,0,0,0.0,2.32,21.68,0.0,0.0,24.0,24.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,40.6,,,,,,,15.12,9.65,66.12,37.47,0.0,0.0,0.0,0.0,5.51,2024-2025
2900022,MO SCHLS FOR THE SEV DISABLED,MO,Jackson County,5,0,652,0,652,2,190,145,315,0,0.0,0.0,128.0,0.0,0.0,128.0,128.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,,,,,,,5.09,5.05,196.32,1.53,0.0,0.0,0.0,0.0,0.0,2024-2025
2900024,BROOKSIDE CHARTER SCH.,MO,Jackson County,2,2,800,39,761,86,450,225,0,0,2.5,7.43,46.47,25.6,0.0,82.0,79.5,0.0,10.0,4.1,5.0,0.0,14.2,1.0,6.0,0.0,1.9,5.0,17.0,146.2,,,,,,,9.57,8.5,104.47,13.14,6.57,0.0,18.66,5.39,7.88,2024-2025
2900025,ALLEN VILLAGE,MO,Jackson County,5,5,384,9,375,20,133,92,130,0,0.0,1.15,11.05,17.28,0.0,29.48,29.48,0.0,6.4,1.97,1.8,0.0,2.0,0.0,1.0,0.0,1.15,0.0,0.0,43.8,,,,,,,12.72,10.45,78.61,17.07,4.8,0.0,5.33,5.25,2.67,2024-2025
2900027,UNIVERSITY ACADEMY,MO,Jackson County,3,3,1111,30,1081,108,471,265,237,0,2.0,6.86,30.34,39.3,0.0,78.5,76.5,0.0,8.0,0.0,2.75,0.0,6.8,2.0,5.75,0.0,1.2,0.0,0.0,105.0,,,,,,,14.13,12.79,70.77,7.4,2.54,0.0,6.29,0.0,5.32,2024-2025
2900028,LEE A. TOLBERT COM. ACADEMY,MO,Jackson County,1,1,401,19,382,37,227,118,0,0,0.0,2.72,30.18,0.0,0.0,32.9,32.9,0.0,9.0,1.0,0.0,0.0,4.0,0.0,1.9,0.0,1.0,7.0,6.0,62.8,,,,,,,11.61,9.12,86.13,23.56,0.0,0.0,10.47,2.62,4.97,2024-2025
2900029,GUADALUPE CENTERS SCHOOLS,MO,Jackson County,3,3,1614,77,1537,121,603,355,458,0,4.0,8.0,62.0,74.0,0.0,148.0,144.0,0.0,28.0,6.0,3.0,0.0,10.0,1.0,7.0,0.0,4.0,0.0,0.0,207.0,,,,,,,10.67,8.94,93.69,18.22,1.95,0.0,6.51,3.9,4.55,2024-2025
2900031,KIPP: ENDEAVOR ACADEMY,MO,Jackson County,2,2,1047,70,977,57,324,214,382,0,4.9,5.12,0.0,89.58,0.0,99.6,94.7,-0.0,13.0,5.9,9.1,0.0,16.5,1.2,14.4,0.0,2.0,2.0,11.0,174.7,,,,,,,10.32,9.07,96.93,13.31,9.31,0.0,16.89,6.04,14.74,2024-2025
