school_year,nces_lea_id,district_name,lea_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_k12_fte_components,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,teacher_k12_valid,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,lea_total_operating_schools_national,lea_operating_schools_in_region,lea_operating_schools_outside_region,lea_geographic_coverage_share,lea_fully_within_region
2023-2024,2923730,RAYMORE-PECULIAR R-II,RAYMORE-PECULIAR R-II,MO,Cass County,12,11,6314,166,6148,443,14.2,28.14,171.65,234.33,0.0,448.32,434.12,434.12,0.0,63.63,8.37,18.0,3.0,28.5,9.38,23.5,12.87,5.0,14.0,184.7,819.27,True,14.16,12.35,70.61,10.35,2.93,3.82,12,12,0,1.0,True
2023-2024,2925230,PLATTE CO. R-III,PLATTE CO. R-III,MO,Platte County,8,7,4283,18,4265,310,4.0,19.51,121.68,166.57,0.0,311.76,307.76,307.76,0.0,51.0,12.08,12.0,1.0,24.95,7.75,17.1,0.0,0.0,42.0,140.0,619.64,True,13.86,11.89,72.16,11.96,2.81,4.01,8,8,0,1.0,True
2023-2024,2925330,PLEASANT HILL R-III,PLEASANT HILL R-III,MO,Cass County,5,5,2130,45,2085,122,2.57,9.39,70.2,69.62,0.0,151.78,149.21,149.21,0.0,19.8,3.5,5.0,0.0,13.0,2.67,9.5,1.0,2.0,19.0,18.0,245.25,True,13.97,12.34,71.56,9.5,2.4,4.56,5,5,0,1.0,True
2023-2024,2926070,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson County,20,16,7953,213,7740,559,23.94,31.74,228.0,294.86,0.0,578.54,554.6,554.6,0.0,146.75,16.75,25.95,2.0,54.29,8.76,33.0,4.0,7.0,73.0,533.51,1483.55,True,13.96,11.04,71.65,18.96,3.35,4.26,20,20,0,1.0,True
2023-2024,2926480,RICHMOND R-XVI,RICHMOND R-XVI,MO,Ray County,4,4,1549,77,1472,106,6.48,11.5,43.69,58.06,0.0,119.73,113.25,113.25,0.0,28.84,3.75,4.9,1.0,6.93,0.0,5.9,0.0,2.0,9.0,31.0,213.05,True,13.0,10.36,76.94,19.59,3.33,4.01,4,4,0,1.0,True
2023-2024,2928410,SMITHVILLE R-II,SMITHVILLE R-II,MO,Clay County,5,5,2536,27,2509,173,4.17,11.05,80.55,85.99,0.0,181.76,177.59,177.59,0.0,41.99,5.34,7.9,0.0,9.61,4.8,11.85,0.0,3.0,22.5,42.77,331.52,True,14.13,11.43,70.78,16.74,3.15,4.72,5,5,0,1.0,True
2023-2024,2929670,STRASBURG C-3,STRASBURG C-3,MO,Cass County,1,1,134,0,134,16,0.0,1.13,12.7,0.0,0.0,13.83,13.83,13.83,0.0,0.0,0.0,1.0,0.0,1.1,0.0,0.17,0.0,0.9,3.0,5.0,25.0,True,9.69,9.69,103.21,0.0,7.46,1.27,1,1,0,1.0,True
2023-2024,2931710,WEST PLATTE CO. R-II,WEST PLATTE CO. R-II,MO,Platte County,3,3,731,54,677,42,3.0,3.0,25.4,33.46,0.0,64.86,61.86,61.86,0.0,11.0,2.64,3.0,0.0,2.07,1.93,4.86,0.0,0.0,4.25,9.0,103.61,True,10.94,9.29,91.37,16.25,4.43,7.18,3,3,0,1.0,True
2023-2024,2931800,MIDWAY R-I,MIDWAY R-I,MO,Cass County,2,2,432,0,432,22,1.1,2.26,18.71,19.08,0.0,41.15,40.05,40.05,0.0,15.1,0.45,0.75,0.0,2.05,0.9,2.0,0.0,1.0,0.0,0.0,63.4,True,10.79,7.83,92.71,34.95,1.74,4.63,2,2,0,1.0,True
2024-2025,2000018,School for Blind,School for Blind,KS,Wyandotte County,2,0,38,0,38,0,7.58,5.9,11.73,6.12,0.0,31.33,23.75,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,2.0,0.0,0.0,33.5,True,1.6,1.6,625.0,0.0,0.0,4.47,2,2,0,1.0,True
2024-2025,2000019,School for Deaf,School for Deaf,KS,Johnson County,2,0,118,11,107,6,2.0,1.83,12.0,9.21,0.0,25.04,23.04,23.04,0.0,0.0,1.0,0.0,0.0,0.0,0.75,1.2,0.0,1.0,0.0,0.0,28.99,True,4.64,4.64,215.33,0.0,0.0,11.21,2,2,0,1.0,True
2024-2025,2003780,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,7,6,3096,154,2942,200,8.24,25.61,126.01,67.92,0.0,227.78,219.54,219.54,0.0,38.3,11.53,7.65,5.0,22.9,1.0,9.43,10.4,2.0,6.3,39.9,382.19,True,13.4,11.41,74.62,13.02,2.6,3.21,7,7,0,1.0,True
2024-2025,2004050,Bonner Springs,Bonner Springs,KS,Wyandotte County,5,5,2535,147,2388,144,6.5,23.5,111.02,61.55,0.0,202.57,196.07,196.07,0.0,59.0,3.64,6.0,1.0,18.0,2.0,9.83,10.0,3.0,8.0,49.0,372.04,True,12.18,9.36,82.11,24.71,2.51,4.12,5,5,0,1.0,True
2024-2025,2005490,De Soto,De Soto,KS,Johnson County,13,12,7295,228,7067,418,14.5,69.87,301.7,167.93,0.0,554.0,539.5,539.5,0.0,121.0,4.7,14.5,7.8,69.0,0.0,21.0,24.3,3.0,13.0,99.9,932.2,True,13.1,10.7,76.34,17.12,2.05,2.97,13,13,0,1.0,True
2024-2025,2005640,Easton,Easton,KS,Leavenworth County,3,3,687,41,646,44,2.47,4.87,32.13,16.9,0.0,56.37,53.9,53.9,0.0,3.0,1.0,1.0,0.78,4.4,0.0,3.12,6.0,1.0,2.0,13.0,91.67,True,11.99,11.35,83.44,4.64,1.55,4.83,3,3,0,1.0,True
2024-2025,2006330,Fort Leavenworth,Fort Leavenworth,KS,Leavenworth County,4,4,1542,176,1366,163,10.42,23.67,93.0,8.92,0.0,136.01,125.59,125.59,0.0,32.0,10.0,4.0,2.0,26.0,3.0,4.0,4.0,2.0,5.0,37.0,265.01,True,10.88,8.67,91.94,23.43,2.93,2.93,4,4,0,1.0,True
2024-2025,2006420,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,11,11,5858,277,5581,361,20.53,57.75,268.4,118.78,0.0,465.46,444.93,444.93,0.0,141.0,4.03,16.5,7.0,41.2,7.67,18.0,16.6,2.0,14.1,100.3,833.86,True,12.54,9.53,79.72,25.26,2.96,3.23,11,11,0,1.0,True
2024-2025,2007950,Kansas City,Kansas City,KS,Wyandotte County,43,43,21538,1328,20210,1606,46.58,201.25,787.53,364.2,0.0,1399.56,1352.98,1352.98,0.0,268.8,120.96,69.0,2.0,343.3,10.0,76.0,91.0,3.0,95.0,780.5,3259.12,True,14.94,12.46,66.95,13.3,3.41,3.76,43,43,0,1.0,True
2024-2025,2008340,Lansing,Lansing,KS,Leavenworth County,5,4,2626,87,2539,162,6.03,14.85,98.49,56.47,0.0,175.84,169.81,169.81,0.0,87.0,11.5,8.67,1.0,26.0,1.0,6.0,6.0,2.0,5.0,50.7,380.71,True,14.95,9.89,66.88,34.27,3.41,2.36,5,5,0,1.0,True
2024-2025,2008430,Leavenworth,Leavenworth,KS,Leavenworth County,8,7,3269,96,3173,189,7.0,17.75,125.75,77.17,0.0,227.67,220.67,220.67,0.0,107.0,12.5,11.0,5.0,44.0,0.33,7.0,18.0,2.0,11.0,84.0,529.5,True,14.38,9.68,69.55,33.72,3.47,2.21,8,8,0,1.0,True
2024-2025,2008970,Louisburg,Louisburg,KS,Miami County,5,4,1745,104,1641,93,2.85,8.8,63.35,37.12,0.0,112.12,109.27,109.27,-0.0,17.5,0.0,1.33,2.0,5.2,2.35,4.5,8.0,1.0,3.8,59.0,216.8,True,15.02,12.94,66.59,10.66,0.81,2.74,5,5,0,1.0,True
2024-2025,2010140,Olathe,Olathe,KS,Johnson County,52,51,28195,696,27499,1868,48.33,260.0,1201.57,679.42,0.0,2189.32,2140.99,2140.99,-0.0,655.5,61.95,82.43,36.0,262.5,48.5,65.3,103.0,4.9,22.0,552.9,4084.3,True,12.84,9.83,77.86,23.84,3.0,2.37,52,52,0,1.0,True
2024-2025,2010260,Osawatomie,Osawatomie,KS,Miami County,5,4,1021,103,918,69,6.83,6.33,44.58,27.5,0.0,85.24,78.41,78.41,0.0,13.0,3.0,3.0,1.5,8.0,1.0,4.0,7.0,2.0,4.0,44.0,175.74,True,11.71,10.04,85.41,14.16,3.27,4.36,5,5,0,1.0,True
2024-2025,2010500,Paola,Paola,KS,Miami County,4,4,1785,34,1751,111,2.75,9.94,78.06,40.75,0.0,131.5,128.75,128.75,0.0,256.0,2.0,2.0,0.0,45.0,0.0,4.0,15.0,2.0,6.0,30.0,493.5,True,13.6,4.55,73.53,146.2,1.14,2.28,4,4,0,1.0,True
2024-2025,2010680,Piper-Kansas City,Piper-Kansas City,KS,Wyandotte County,4,4,2840,129,2711,170,11.5,13.66,109.58,63.49,0.0,198.23,186.73,186.73,0.0,27.4,10.0,9.0,4.0,19.2,3.2,7.0,10.0,1.0,5.0,19.4,313.43,True,14.52,12.66,68.88,10.11,3.32,2.58,4,4,0,1.0,True
2024-2025,2011640,Shawnee Mission Pub Sch,Shawnee Mission Pub Sch,KS,Johnson County,45,44,26513,739,25774,1867,67.98,218.1,1015.35,558.56,0.0,1859.99,1792.01,1792.01,0.0,562.7,116.04,33.67,25.0,221.5,16.71,70.8,83.0,8.0,50.5,489.3,3537.21,True,14.38,10.95,69.53,21.83,1.31,2.75,45,45,0,1.0,True
2024-2025,2011850,Spring Hill,Spring Hill,KS,Johnson County,11,9,5860,149,5711,374,9.42,45.43,206.03,103.46,0.0,364.34,354.92,354.92,0.0,59.4,13.67,12.5,6.0,28.3,8.5,17.0,25.2,2.0,11.1,62.0,610.01,True,16.09,13.78,62.15,10.4,2.19,2.98,11,11,0,1.0,True
2024-2025,2012000,Blue Valley,Blue Valley,KS,Johnson County,37,36,22252,456,21796,1417,32.2,289.66,834.3,516.31,0.0,1672.47,1640.27,1640.27,0.0,361.9,47.5,63.5,24.6,208.5,40.2,46.33,85.0,2.0,64.6,311.4,2928.0,True,13.29,10.89,75.26,16.6,2.91,2.13,37,37,0,1.0,True
2024-2025,2012210,Tonganoxie,Tonganoxie,KS,Leavenworth County,3,3,1988,73,1915,133,4.96,13.9,79.16,48.85,0.0,146.87,141.91,141.91,0.0,43.7,14.53,4.5,4.0,12.5,0.0,2.0,9.0,1.5,3.8,48.3,290.7,True,13.49,10.32,74.1,22.82,2.35,1.04,3,3,0,1.0,True
2024-2025,2012360,Turner-Kansas City,Turner-Kansas City,KS,Wyandotte County,8,7,3926,218,3708,264,9.0,28.88,151.96,80.63,0.0,270.47,261.47,261.47,0.0,44.9,6.33,9.2,2.0,46.7,4.0,10.0,15.9,5.0,11.0,84.0,509.5,True,14.18,12.1,70.52,12.11,2.48,2.7,8,8,0,1.0,True
2024-2025,2900009,DIVISION OF YOUTH SERVICE,DIVISION OF YOUTH SERVICE,MO,Clay County,5,4,496,0,496,0,0.0,0.0,0.0,74.0,0.0,74.0,74.0,74.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,True,6.7,6.7,149.19,0.0,0.0,0.0,30,5,25,0.1667,False
