school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,13.76,454.0,33.0,phys,Physics,Science,Advanced / Specialized,,,,,,
