school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,enrollment_k12,classroom_teacher_fte,school_ptr,classes_alg1,enrollment_alg1,certified_alg1,mean_class_size_alg1,certified_share_alg1,allocation_wedge_alg1,classes_geom,enrollment_geom,certified_geom,mean_class_size_geom,certified_share_geom,allocation_wedge_geom,classes_alg2,enrollment_alg2,certified_alg2,mean_class_size_alg2,certified_share_alg2,allocation_wedge_alg2,classes_advm,enrollment_advm,certified_advm,mean_class_size_advm,certified_share_advm,allocation_wedge_advm,classes_calc,enrollment_calc,certified_calc,mean_class_size_calc,certified_share_calc,allocation_wedge_calc,classes_bio,enrollment_bio,certified_bio,mean_class_size_bio,certified_share_bio,allocation_wedge_bio,classes_chem,enrollment_chem,certified_chem,mean_class_size_chem,certified_share_chem,allocation_wedge_chem,classes_phys,enrollment_phys,certified_phys,mean_class_size_phys,certified_share_phys,allocation_wedge_phys
2021-2022,2021-22,291165000420,2911650,EXCELSIOR SPRINGS HIGH,EXCELSIOR SPRINGS 40,EXCELSIOR SPRINGS 40,MO,Clay County,29047,Town,High,Regular School,1,True,False,False,794.0,48.97,16.21,8.0,170.0,,21.25,,5.039999999999999,11.0,199.0,,18.09090909090909,,1.880909090909089,6.0,126.0,,21.0,,4.789999999999999,2.0,64.0,,32.0,,15.79,0.0,,,,,,11.0,262.0,,23.818181818181817,,7.608181818181816,4.0,71.0,,17.75,,1.5399999999999991,0.0,,,,,
2021-2022,2021-22,290060303295,2900603,CROSSROADS - QUALITY HILL,CROSSROADS CHARTER SCHOOLS,CROSSROADS CHARTER SCHOOLS,MO,Jackson County,29095,City,Primary,Regular School,1,True,True,False,267.0,25.0,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,292355001366,2923550,ALFRED L. RENNER ELEM.,PARK HILL,PARK HILL,MO,Platte County,29165,City,Primary,Regular School,1,True,False,False,401.0,33.3,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,292607003125,2926070,LITTLE BLUE ELEMENTARY,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson County,29095,City,Primary,Regular School,1,True,False,False,390.0,39.75,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201164002106,2011640,Lenexa Hills Elementary,Shawnee Mission Pub Sch,Shawnee Mission Pub Sch,KS,Johnson County,20091,City,Primary,Regular School,1,True,False,False,282.0,24.1,13.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,200897001911,2008970,Rockville Elementary School,Louisburg,Louisburg,KS,Miami County,20121,Rural,Primary,Regular School,1,True,False,False,378.0,28.0,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201236001475,2012360,Midland Trail,Turner-Kansas City,Turner-Kansas City,KS,Wyandotte County,20209,City,Primary,Regular School,1,True,False,False,428.0,39.0,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201014001541,2010140,Sunnyside Elementary School,Olathe,Olathe,KS,Johnson County,20091,Suburb,Primary,Regular School,1,True,False,False,334.0,25.7,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,2021-22,201014001617,2010140,Prairie Center Elem,Olathe,Olathe,KS,Johnson County,20091,Suburb,Primary,Regular School,1,True,False,False,376.0,28.0,13.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-24,290531000170,2905310,BLUE SPRINGS SOUTH HIGH,BLUE SPRINGS R-IV,BLUE SPRINGS R-IV,MO,Jackson County,29095,Suburb,High,Regular School,1,True,False,False,2308.0,123.44,18.7,23.0,484.0,,21.043478260869566,,2.343478260869567,22.0,526.0,,23.90909090909091,,5.209090909090911,21.0,553.0,,26.333333333333332,,7.633333333333333,17.0,440.0,,25.88235294117647,,7.182352941176472,4.0,97.0,,24.25,,5.550000000000001,40.0,774.0,,19.35,,0.6500000000000021,21.0,501.0,,23.857142857142858,,5.157142857142858,9.0,176.0,,19.555555555555557,,0.8555555555555578
2023-2024,2023-24,290825000223,2908250,BOONE ELEM.,CENTER 58,CENTER 58,MO,Jackson County,29095,City,Primary,Regular School,1,True,False,False,259.0,22.75,11.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-24,201164001529,2011640,Crestview Elem,Shawnee Mission Pub Sch,Shawnee Mission Pub Sch,KS,Johnson County,20091,Suburb,Primary,Regular School,1,True,False,False,361.0,27.9,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-24,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,LIBERTY 53,MO,Clay County,29047,Suburb,Middle,Regular School,1,True,False,False,663.0,49.82,13.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-24,200795001388,2007950,Banneker Elem,Kansas City,Kansas City,KS,Wyandotte County,20209,City,Primary,Regular School,1,True,False,False,244.0,18.25,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
