school_year,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,school_level,school_type,operational_status,is_operating,locale_code,locale_group,is_charter,is_virtual,enrollment_total,classroom_teacher_fte,school_ptr
2013-2014,201014000134,2010140,WESTVIEW ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,270.0,22.0,12.27
2013-2014,201014000135,2010140,SANTA FE TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,736.0,58.0,12.69
2013-2014,201014000136,2010140,OREGON TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,497.0,42.0,11.83
2013-2014,201014000137,2010140,OLATHE NORTH SR HIGH,OLATHE,KS,Johnson,20091,High,Regular School,1,True,21,Suburb,False,False,2164.0,140.0,15.46
2013-2014,201014000140,2010140,MEADOW LANE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,435.0,25.0,17.4
2013-2014,201014000141,2010140,ROLLING RIDGE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,450.0,32.0,14.06
2013-2014,201014000142,2010140,NORTHVIEW ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,276.0,22.0,12.55
2013-2014,201014000143,2010140,HAVENCROFT ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,279.0,21.0,13.29
2013-2014,201014000144,2010140,SCARBOROUGH ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,343.0,23.0,14.91
2013-2014,201014000145,2010140,BLACK BOB ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,322.0,17.0,18.94
2013-2014,201014000910,2010140,HEATHERSTONE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,474.0,26.0,18.23
2013-2014,201014001000,2010140,BENTWOOD ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,12,City,False,False,346.0,23.0,15.04
2013-2014,201014001019,2010140,CALIFORNIA TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,758.0,53.0,14.3
2013-2014,201014001292,2010140,CEDAR CREEK ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,41,Rural,False,False,581.0,28.0,20.75
2013-2014,201014001484,2010140,REGENCY PLACE ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,573.0,35.0,16.37
2013-2014,201014001541,2010140,SUNNYSIDE ELEMENTARY SCHOOL,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,532.0,29.0,18.34
2013-2014,201014001548,2010140,CHISHOLM TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,736.0,50.0,14.72
2013-2014,201014001590,2010140,TOMAHAWK ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,397.0,26.0,15.27
2013-2014,201014001601,2010140,INDIAN TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,719.0,55.0,13.07
2013-2014,201014001602,2010140,OLATHE SOUTH SR HIGH,OLATHE,KS,Johnson,20091,High,Regular School,1,True,21,Suburb,False,False,2109.0,133.0,15.86
2013-2014,201014001617,2010140,PRAIRIE CENTER ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,379.0,23.0,16.48
2013-2014,201014001624,2010140,BROUGHAM ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,419.0,22.0,19.05
2013-2014,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,467.0,33.0,14.15
2013-2014,201014001626,2010140,WALNUT GROVE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,403.0,23.0,17.52
2013-2014,201014001655,2010140,PIONEER TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,704.0,55.0,12.8
2013-2014,201014001668,2010140,BRIARWOOD ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,338.0,24.0,14.08
2013-2014,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,454.0,33.0,13.76
2013-2014,201014001670,2010140,HERITAGE ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,319.0,22.0,14.5
2013-2014,201014001676,2010140,FRONTIER TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,789.0,58.0,13.6
2013-2014,201014001703,2010140,GREEN SPRINGS ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,309.0,23.0,13.43
2013-2014,201014001704,2010140,MAHAFFIE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,476.0,28.0,17.0
2013-2014,201014001705,2010140,PLEASANT RIDGE ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,12,City,False,False,400.0,21.0,19.05
2013-2014,201014001718,2010140,ARBOR CREEK ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,604.0,34.0,17.76
2013-2014,201014001759,2010140,MANCHESTER PARK ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,41,Rural,False,False,628.0,31.0,20.26
2013-2014,201014001760,2010140,CLEARWATER CREEK ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,471.0,27.0,17.44
2013-2014,201014001761,2010140,PRAIRIE TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,41,Rural,False,False,778.0,52.0,14.96
2013-2014,201014001781,2010140,RAVENWOOD ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,689.0,38.0,18.13
2013-2014,201014001793,2010140,OLATHE NORTHWEST HIGH SCHOOL,OLATHE,KS,Johnson,20091,High,Regular School,1,True,41,Rural,False,False,1938.0,121.0,16.02
2013-2014,201014001882,2010140,MADISON PLACE ELEMENTARY,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,491.0,29.0,16.93
2013-2014,201014001924,2010140,WOODLAND ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,366.0,24.0,15.25
2013-2014,201014001929,2010140,FOREST VIEW ELEM,OLATHE,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,463.0,29.0,15.97
2013-2014,201014001971,2010140,MISSION TRAIL MIDDLE SCHOOL,OLATHE,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,722.0,50.0,14.44
2013-2014,201026000771,2010260,TROJAN ELEM,OSAWATOMIE,KS,Miami,20121,Primary,Regular School,1,True,32,Town,False,False,427.0,27.0,15.81
2013-2014,201026000772,2010260,SWENSON EARLY CHILDHOOD EDUCATION CENTER,OSAWATOMIE,KS,Miami,20121,Primary,Regular School,1,True,32,Town,False,False,196.0,12.0,16.33
2013-2014,201026000773,2010260,OSAWATOMIE MIDDLE SCHOOL,OSAWATOMIE,KS,Miami,20121,Middle,Regular School,1,True,32,Town,False,False,257.0,19.0,13.53
2013-2014,201026000774,2010260,OSAWATOMIE HIGH,OSAWATOMIE,KS,Miami,20121,High,Regular School,1,True,32,Town,False,False,372.0,27.0,13.78
2013-2014,201050000776,2010500,PAOLA MIDDLE,PAOLA,KS,Miami,20121,Middle,Regular School,1,True,32,Town,False,False,453.0,31.0,14.61
2013-2014,201050000779,2010500,PAOLA HIGH,PAOLA,KS,Miami,20121,High,Regular School,1,True,32,Town,False,False,607.0,44.0,13.8
