school_year,crdc_wave,data_source,nces_school_id,school_name,enrollment_crdc,idea_count,idea_share,section_504_count,section_504_share,lep_count,lep_share,accommodations_count,accommodations_share,chronic_absent_count,chronic_absent_rate,district_name,state,county_name,locale_group,school_level,school_type,is_virtual,is_operating,enrollment_total,enrollment_k12,classroom_teacher_fte,school_ptr,frl_eligible,frl_rate,is_balanced_school
2015-2016,2015-16,CRDC,200405000030,Robert E Clark Middle,591.0,85.0,0.14382402707275804,0.0,0.0,41.0,0.06937394247038917,85.0,0.14382402707275804,,,Bonner Springs,KS,Wyandotte County,Suburb,Middle,Regular School,False,True,589.0,589.0,41.3,14.26,339.0,0.5756,True
2015-2016,2015-16,CRDC,200405000031,Bonner Springs High,803.0,107.0,0.13325031133250312,8.0,0.009962640099626401,37.0,0.0460772104607721,115.0,0.1432129514321295,,,Bonner Springs,KS,Wyandotte County,Suburb,High,Regular School,False,True,801.0,801.0,54.5,14.7,404.0,0.5044,True
2015-2016,2015-16,CRDC,200405000032,Edwardsville Elem,407.0,27.0,0.06633906633906633,0.0,0.0,27.0,0.06633906633906633,27.0,0.06633906633906633,,,Bonner Springs,KS,Wyandotte County,Suburb,Primary,Regular School,False,True,404.0,404.0,29.3,13.79,262.0,0.6485,True
2015-2016,2015-16,CRDC,200405001827,Delaware Ridge Elementary,390.0,35.0,0.08974358974358974,2.0,0.005128205128205128,46.0,0.11794871794871795,37.0,0.09487179487179487,,,Bonner Springs,KS,Wyandotte County,City,Primary,Regular School,False,True,387.0,387.0,25.3,15.3,204.0,0.5271,True
2015-2016,2015-16,CRDC,200549000127,De Soto  High  School,764.0,91.0,0.11910994764397906,31.0,0.04057591623036649,30.0,0.03926701570680628,122.0,0.15968586387434555,,,De Soto,KS,Johnson County,Rural,High,Regular School,False,True,764.0,764.0,50.7,15.07,153.0,0.2003,True
2015-2016,2015-16,CRDC,200549000898,Monticello Trails Middle School,734.0,68.0,0.09264305177111716,26.0,0.035422343324250684,4.0,0.005449591280653951,94.0,0.12806539509536785,,,De Soto,KS,Johnson County,Suburb,Middle,Regular School,False,True,737.0,737.0,45.3,16.27,56.0,0.076,True
2015-2016,2015-16,CRDC,200549000906,Lexington Trails Middle School,337.0,44.0,0.13056379821958458,10.0,0.02967359050445104,45.0,0.13353115727002968,54.0,0.16023738872403562,,,De Soto,KS,Johnson County,Rural,Middle,Regular School,False,True,333.0,333.0,30.1,11.06,107.0,0.3213,True
2015-2016,2015-16,CRDC,200549001457,Clear Creek Elem,478.0,11.0,0.02301255230125523,4.0,0.008368200836820083,4.0,0.008368200836820083,15.0,0.03138075313807531,,,De Soto,KS,Johnson County,Suburb,Primary,Regular School,False,True,474.0,474.0,33.6,14.11,39.0,0.0823,True
2015-2016,2015-16,CRDC,200549001462,Starside Elem,389.0,27.0,0.06940874035989718,6.0,0.015424164524421594,92.0,0.2365038560411311,33.0,0.08483290488431877,,,De Soto,KS,Johnson County,Rural,Primary,Regular School,False,True,411.0,386.0,40.2,10.22,203.0,0.4939,True
2015-2016,2015-16,CRDC,200549001717,Riverview Elementary,413.0,11.0,0.026634382566585957,6.0,0.014527845036319613,41.0,0.09927360774818401,17.0,0.04116222760290557,,,De Soto,KS,Johnson County,Suburb,Primary,Regular School,False,True,415.0,415.0,29.1,14.26,30.0,0.0723,True
2015-2016,2015-16,CRDC,200549001723,Mill Valley High School,1368.0,123.0,0.08991228070175439,45.0,0.03289473684210526,20.0,0.014619883040935672,168.0,0.12280701754385964,,,De Soto,KS,Johnson County,Suburb,High,Regular School,False,True,1366.0,1366.0,84.3,16.2,124.0,0.0908,True
2015-2016,2015-16,CRDC,200549001724,Mize Elementary School,392.0,26.0,0.0663265306122449,6.0,0.015306122448979591,2.0,0.00510204081632653,32.0,0.08163265306122448,,,De Soto,KS,Johnson County,Rural,Primary,Regular School,False,True,389.0,389.0,28.5,13.65,22.0,0.0566,True
2015-2016,2015-16,CRDC,200549001758,Prairie Ridge Elementary School,536.0,26.0,0.048507462686567165,4.0,0.007462686567164179,2.0,0.0037313432835820895,30.0,0.055970149253731345,,,De Soto,KS,Johnson County,Suburb,Primary,Regular School,False,True,534.0,534.0,33.4,15.99,20.0,0.0375,True
