SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,29,MISSOURI,MO,SOUTHVIEW ELEM.,01,,MO-024086,2916450,MO-024086-4080024086,291645001434,2901434,Free and Reduced-price Lunch Table,Free lunch qualified,56,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SOUTHVIEW ELEM.,01,,MO-024086,2916450,MO-024086-4080024086,291645001434,2901434,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,20,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY JR. HIGH,01,,MO-024086,2916450,MO-024086-2050024086,291645002531,2902531,Free and Reduced-price Lunch Table,No Category Codes,97,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY JR. HIGH,01,,MO-024086,2916450,MO-024086-2050024086,291645002531,2902531,Direct Certification,Not Applicable,27,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY JR. HIGH,01,,MO-024086,2916450,MO-024086-2050024086,291645002531,2902531,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY JR. HIGH,01,,MO-024086,2916450,MO-024086-2050024086,291645002531,2902531,Free and Reduced-price Lunch Table,Free lunch qualified,72,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY JR. HIGH,01,,MO-024086,2916450,MO-024086-2050024086,291645002531,2902531,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,25,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAWTHORNE ELEM.,01,,MO-024086,2916450,MO-024086-4060024086,291645002532,2902532,Free and Reduced-price Lunch Table,No Category Codes,22,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HAWTHORNE ELEM.,01,,MO-024086,2916450,MO-024086-4060024086,291645002532,2902532,Direct Certification,Not Applicable,7,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HAWTHORNE ELEM.,01,,MO-024086,2916450,MO-024086-4060024086,291645002532,2902532,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAWTHORNE ELEM.,01,,MO-024086,2916450,MO-024086-4060024086,291645002532,2902532,Free and Reduced-price Lunch Table,Free lunch qualified,17,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAWTHORNE ELEM.,01,,MO-024086,2916450,MO-024086-4060024086,291645002532,2902532,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,5,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DOGWOOD ELEM.,01,,MO-024086,2916450,MO-024086-5020024086,291645002862,2902862,Free and Reduced-price Lunch Table,No Category Codes,82,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DOGWOOD ELEM.,01,,MO-024086,2916450,MO-024086-5020024086,291645002862,2902862,Direct Certification,Not Applicable,19,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DOGWOOD ELEM.,01,,MO-024086,2916450,MO-024086-5020024086,291645002862,2902862,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DOGWOOD ELEM.,01,,MO-024086,2916450,MO-024086-5020024086,291645002862,2902862,Free and Reduced-price Lunch Table,Free lunch qualified,61,Category Set A,Reported
2024-2025,29,MISSOURI,MO,DOGWOOD ELEM.,01,,MO-024086,2916450,MO-024086-5020024086,291645002862,2902862,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,21,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY MIDDLE,01,,MO-024086,2916450,MO-024086-3000024086,291645002872,2902872,Free and Reduced-price Lunch Table,No Category Codes,100,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY MIDDLE,01,,MO-024086,2916450,MO-024086-3000024086,291645002872,2902872,Direct Certification,Not Applicable,30,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY MIDDLE,01,,MO-024086,2916450,MO-024086-3000024086,291645002872,2902872,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY MIDDLE,01,,MO-024086,2916450,MO-024086-3000024086,291645002872,2902872,Free and Reduced-price Lunch Table,Free lunch qualified,72,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY MIDDLE,01,,MO-024086,2916450,MO-024086-3000024086,291645002872,2902872,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,28,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY EARLY EDUCATION CENTER,01,,MO-024086,2916450,MO-024086-7500024086,291645003329,2903329,Free and Reduced-price Lunch Table,No Category Codes,17,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY EARLY EDUCATION CENTER,01,,MO-024086,2916450,MO-024086-7500024086,291645003329,2903329,Direct Certification,Not Applicable,6,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KEARNEY EARLY EDUCATION CENTER,01,,MO-024086,2916450,MO-024086-7500024086,291645003329,2903329,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY EARLY EDUCATION CENTER,01,,MO-024086,2916450,MO-024086-7500024086,291645003329,2903329,Free and Reduced-price Lunch Table,Free lunch qualified,15,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KEARNEY EARLY EDUCATION CENTER,01,,MO-024086,2916450,MO-024086-7500024086,291645003329,2903329,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,2,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LENS,01,,MO-024086,2916450,MO-024086-5040024086,291645003353,2903353,Free and Reduced-price Lunch Table,No Category Codes,12,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LENS,01,,MO-024086,2916450,MO-024086-5040024086,291645003353,2903353,Direct Certification,Not Applicable,3,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LENS,01,,MO-024086,2916450,MO-024086-5040024086,291645003353,2903353,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LENS,01,,MO-024086,2916450,MO-024086-5040024086,291645003353,2903353,Free and Reduced-price Lunch Table,Free lunch qualified,8,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LENS,01,,MO-024086,2916450,MO-024086-5040024086,291645003353,2903353,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,4,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON MIDDLE,01,,MO-089080,2918220,MO-089080-3000089080,291822000961,2900961,Free and Reduced-price Lunch Table,No Category Codes,82,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LAWSON MIDDLE,01,,MO-089080,2918220,MO-089080-3000089080,291822000961,2900961,Direct Certification,Not Applicable,29,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LAWSON MIDDLE,01,,MO-089080,2918220,MO-089080-3000089080,291822000961,2900961,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON MIDDLE,01,,MO-089080,2918220,MO-089080-3000089080,291822000961,2900961,Free and Reduced-price Lunch Table,Free lunch qualified,61,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON MIDDLE,01,,MO-089080,2918220,MO-089080-3000089080,291822000961,2900961,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,21,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON HIGH,01,,MO-089080,2918220,MO-089080-1050089080,291822000962,2900962,Free and Reduced-price Lunch Table,No Category Codes,77,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LAWSON HIGH,01,,MO-089080,2918220,MO-089080-1050089080,291822000962,2900962,Direct Certification,Not Applicable,24,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LAWSON HIGH,01,,MO-089080,2918220,MO-089080-1050089080,291822000962,2900962,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON HIGH,01,,MO-089080,2918220,MO-089080-1050089080,291822000962,2900962,Free and Reduced-price Lunch Table,Free lunch qualified,54,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LAWSON HIGH,01,,MO-089080,2918220,MO-089080-1050089080,291822000962,2900962,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,23,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SOUTHWEST ELEM.,01,,MO-089080,2918220,MO-089080-4040089080,291822000964,2900964,Free and Reduced-price Lunch Table,No Category Codes,120,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,SOUTHWEST ELEM.,01,,MO-089080,2918220,MO-089080-4040089080,291822000964,2900964,Direct Certification,Not Applicable,53,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,SOUTHWEST ELEM.,01,,MO-089080,2918220,MO-089080-4040089080,291822000964,2900964,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SOUTHWEST ELEM.,01,,MO-089080,2918220,MO-089080-4040089080,291822000964,2900964,Free and Reduced-price Lunch Table,Free lunch qualified,74,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SOUTHWEST ELEM.,01,,MO-089080,2918220,MO-089080-4040089080,291822000964,2900964,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,46,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BERNARD C. CAMPBELL MIDDLE,01,,MO-048071,2918300,MO-048071-3000048071,291830000222,2900222,Free and Reduced-price Lunch Table,No Category Codes,341,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BERNARD C. CAMPBELL MIDDLE,01,,MO-048071,2918300,MO-048071-3000048071,291830000222,2900222,Direct Certification,Not Applicable,138,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BERNARD C. CAMPBELL MIDDLE,01,,MO-048071,2918300,MO-048071-3000048071,291830000222,2900222,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BERNARD C. CAMPBELL MIDDLE,01,,MO-048071,2918300,MO-048071-3000048071,291830000222,2900222,Free and Reduced-price Lunch Table,Free lunch qualified,265,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BERNARD C. CAMPBELL MIDDLE,01,,MO-048071,2918300,MO-048071-3000048071,291830000222,2900222,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,76,Category Set A,Reported
2024-2025,29,MISSOURI,MO,RICHARDSON ELEM.,01,,MO-048071,2918300,MO-048071-5025048071,291830000523,2900523,Free and Reduced-price Lunch Table,No Category Codes,92,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,RICHARDSON ELEM.,01,,MO-048071,2918300,MO-048071-5025048071,291830000523,2900523,Direct Certification,Not Applicable,37,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,RICHARDSON ELEM.,01,,MO-048071,2918300,MO-048071-5025048071,291830000523,2900523,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,RICHARDSON ELEM.,01,,MO-048071,2918300,MO-048071-5025048071,291830000523,2900523,Free and Reduced-price Lunch Table,Free lunch qualified,71,Category Set A,Reported
2024-2025,29,MISSOURI,MO,RICHARDSON ELEM.,01,,MO-048071,2918300,MO-048071-5025048071,291830000523,2900523,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,21,Category Set A,Reported
2024-2025,29,MISSOURI,MO,TRAILRIDGE ELEM.,01,,MO-048071,2918300,MO-048071-5035048071,291830000544,2900544,Free and Reduced-price Lunch Table,No Category Codes,95,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,TRAILRIDGE ELEM.,01,,MO-048071,2918300,MO-048071-5035048071,291830000544,2900544,Direct Certification,Not Applicable,36,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,TRAILRIDGE ELEM.,01,,MO-048071,2918300,MO-048071-5035048071,291830000544,2900544,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,TRAILRIDGE ELEM.,01,,MO-048071,2918300,MO-048071-5035048071,291830000544,2900544,Free and Reduced-price Lunch Table,Free lunch qualified,72,Category Set A,Reported
2024-2025,29,MISSOURI,MO,TRAILRIDGE ELEM.,01,,MO-048071,2918300,MO-048071-5035048071,291830000544,2900544,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,23,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREENWOOD ELEM.,01,,MO-048071,2918300,MO-048071-4020048071,291830000976,2900976,Free and Reduced-price Lunch Table,No Category Codes,39,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GREENWOOD ELEM.,01,,MO-048071,2918300,MO-048071-4020048071,291830000976,2900976,Direct Certification,Not Applicable,9,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GREENWOOD ELEM.,01,,MO-048071,2918300,MO-048071-4020048071,291830000976,2900976,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREENWOOD ELEM.,01,,MO-048071,2918300,MO-048071-4020048071,291830000976,2900976,Free and Reduced-price Lunch Table,Free lunch qualified,24,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREENWOOD ELEM.,01,,MO-048071,2918300,MO-048071-4020048071,291830000976,2900976,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,15,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAZEL GROVE ELEM.,01,,MO-048071,2918300,MO-048071-4040048071,291830000977,2900977,Free and Reduced-price Lunch Table,No Category Codes,84,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HAZEL GROVE ELEM.,01,,MO-048071,2918300,MO-048071-4040048071,291830000977,2900977,Direct Certification,Not Applicable,33,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HAZEL GROVE ELEM.,01,,MO-048071,2918300,MO-048071-4040048071,291830000977,2900977,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAZEL GROVE ELEM.,01,,MO-048071,2918300,MO-048071-4040048071,291830000977,2900977,Free and Reduced-price Lunch Table,Free lunch qualified,71,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HAZEL GROVE ELEM.,01,,MO-048071,2918300,MO-048071-4040048071,291830000977,2900977,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,13,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT ELEM.,01,,MO-048071,2918300,MO-048071-4060048071,291830000978,2900978,Free and Reduced-price Lunch Table,No Category Codes,124,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT ELEM.,01,,MO-048071,2918300,MO-048071-4060048071,291830000978,2900978,Direct Certification,Not Applicable,57,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT ELEM.,01,,MO-048071,2918300,MO-048071-4060048071,291830000978,2900978,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT ELEM.,01,,MO-048071,2918300,MO-048071-4060048071,291830000978,2900978,Free and Reduced-price Lunch Table,Free lunch qualified,99,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT ELEM.,01,,MO-048071,2918300,MO-048071-4060048071,291830000978,2900978,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,25,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MASON ELEM.,01,,MO-048071,2918300,MO-048071-4080048071,291830000979,2900979,Free and Reduced-price Lunch Table,No Category Codes,79,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MASON ELEM.,01,,MO-048071,2918300,MO-048071-4080048071,291830000979,2900979,Direct Certification,Not Applicable,36,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MASON ELEM.,01,,MO-048071,2918300,MO-048071-4080048071,291830000979,2900979,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MASON ELEM.,01,,MO-048071,2918300,MO-048071-4080048071,291830000979,2900979,Free and Reduced-price Lunch Table,Free lunch qualified,63,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MASON ELEM.,01,,MO-048071,2918300,MO-048071-4080048071,291830000979,2900979,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,16,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MEADOW LANE ELEM.,01,,MO-048071,2918300,MO-048071-4090048071,291830000980,2900980,Free and Reduced-price Lunch Table,No Category Codes,262,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MEADOW LANE ELEM.,01,,MO-048071,2918300,MO-048071-4090048071,291830000980,2900980,Direct Certification,Not Applicable,116,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MEADOW LANE ELEM.,01,,MO-048071,2918300,MO-048071-4090048071,291830000980,2900980,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MEADOW LANE ELEM.,01,,MO-048071,2918300,MO-048071-4090048071,291830000980,2900980,Free and Reduced-price Lunch Table,Free lunch qualified,219,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MEADOW LANE ELEM.,01,,MO-048071,2918300,MO-048071-4090048071,291830000980,2900980,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,43,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA ELEM.,01,,MO-048071,2918300,MO-048071-5010048071,291830000981,2900981,Free and Reduced-price Lunch Table,No Category Codes,134,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA ELEM.,01,,MO-048071,2918300,MO-048071-5010048071,291830000981,2900981,Direct Certification,Not Applicable,57,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA ELEM.,01,,MO-048071,2918300,MO-048071-5010048071,291830000981,2900981,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA ELEM.,01,,MO-048071,2918300,MO-048071-5010048071,291830000981,2900981,Free and Reduced-price Lunch Table,Free lunch qualified,104,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA ELEM.,01,,MO-048071,2918300,MO-048071-5010048071,291830000981,2900981,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,30,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA MIDDLE,01,,MO-048071,2918300,MO-048071-3080048071,291830000982,2900982,Free and Reduced-price Lunch Table,No Category Codes,262,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA MIDDLE,01,,MO-048071,2918300,MO-048071-3080048071,291830000982,2900982,Direct Certification,Not Applicable,87,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA MIDDLE,01,,MO-048071,2918300,MO-048071-3080048071,291830000982,2900982,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA MIDDLE,01,,MO-048071,2918300,MO-048071-3080048071,291830000982,2900982,Free and Reduced-price Lunch Table,Free lunch qualified,205,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PLEASANT LEA MIDDLE,01,,MO-048071,2918300,MO-048071-3080048071,291830000982,2900982,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,57,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT SR. HIGH,01,,MO-048071,2918300,MO-048071-1050048071,291830000983,2900983,Free and Reduced-price Lunch Table,No Category Codes,600,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT SR. HIGH,01,,MO-048071,2918300,MO-048071-1050048071,291830000983,2900983,Direct Certification,Not Applicable,153,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT SR. HIGH,01,,MO-048071,2918300,MO-048071-1050048071,291830000983,2900983,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT SR. HIGH,01,,MO-048071,2918300,MO-048071-1050048071,291830000983,2900983,Free and Reduced-price Lunch Table,Free lunch qualified,481,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT SR. HIGH,01,,MO-048071,2918300,MO-048071-1050048071,291830000983,2900983,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,119,Category Set A,Reported
2024-2025,29,MISSOURI,MO,WESTVIEW ELEM.,01,,MO-048071,2918300,MO-048071-5020048071,291830000984,2900984,Free and Reduced-price Lunch Table,No Category Codes,135,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,WESTVIEW ELEM.,01,,MO-048071,2918300,MO-048071-5020048071,291830000984,2900984,Direct Certification,Not Applicable,59,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,WESTVIEW ELEM.,01,,MO-048071,2918300,MO-048071-5020048071,291830000984,2900984,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,WESTVIEW ELEM.,01,,MO-048071,2918300,MO-048071-5020048071,291830000984,2900984,Free and Reduced-price Lunch Table,Free lunch qualified,107,Category Set A,Reported
2024-2025,29,MISSOURI,MO,WESTVIEW ELEM.,01,,MO-048071,2918300,MO-048071-5020048071,291830000984,2900984,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,28,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT NORTH HIGH,01,,MO-048071,2918300,MO-048071-1070048071,291830001481,2901481,Free and Reduced-price Lunch Table,No Category Codes,499,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT NORTH HIGH,01,,MO-048071,2918300,MO-048071-1070048071,291830001481,2901481,Direct Certification,Not Applicable,193,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT NORTH HIGH,01,,MO-048071,2918300,MO-048071-1070048071,291830001481,2901481,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT NORTH HIGH,01,,MO-048071,2918300,MO-048071-1070048071,291830001481,2901481,Free and Reduced-price Lunch Table,Free lunch qualified,388,Category Set A,Reported
2024-2025,29,MISSOURI,MO,LEE'S SUMMIT NORTH HIGH,01,,MO-048071,2918300,MO-048071-1070048071,291830001481,2901481,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,111,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CEDAR CREEK ELEM.,01,,MO-048071,2918300,MO-048071-4030048071,291830001971,2901971,Free and Reduced-price Lunch Table,No Category Codes,80,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CEDAR CREEK ELEM.,01,,MO-048071,2918300,MO-048071-4030048071,291830001971,2901971,Direct Certification,Not Applicable,38,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CEDAR CREEK ELEM.,01,,MO-048071,2918300,MO-048071-4030048071,291830001971,2901971,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CEDAR CREEK ELEM.,01,,MO-048071,2918300,MO-048071-4030048071,291830001971,2901971,Free and Reduced-price Lunch Table,Free lunch qualified,60,Category Set A,Reported
2024-2025,29,MISSOURI,MO,CEDAR CREEK ELEM.,01,,MO-048071,2918300,MO-048071-4030048071,291830001971,2901971,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,20,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PRAIRIE VIEW ELEM.,01,,MO-048071,2918300,MO-048071-5030048071,291830002291,2902291,Free and Reduced-price Lunch Table,No Category Codes,232,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PRAIRIE VIEW ELEM.,01,,MO-048071,2918300,MO-048071-5030048071,291830002291,2902291,Direct Certification,Not Applicable,103,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,PRAIRIE VIEW ELEM.,01,,MO-048071,2918300,MO-048071-5030048071,291830002291,2902291,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PRAIRIE VIEW ELEM.,01,,MO-048071,2918300,MO-048071-5030048071,291830002291,2902291,Free and Reduced-price Lunch Table,Free lunch qualified,187,Category Set A,Reported
2024-2025,29,MISSOURI,MO,PRAIRIE VIEW ELEM.,01,,MO-048071,2918300,MO-048071-5030048071,291830002291,2902291,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,45,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HIGHLAND PARK ELEM.,01,,MO-048071,2918300,MO-048071-5060048071,291830002311,2902311,Free and Reduced-price Lunch Table,No Category Codes,45,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HIGHLAND PARK ELEM.,01,,MO-048071,2918300,MO-048071-5060048071,291830002311,2902311,Direct Certification,Not Applicable,10,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HIGHLAND PARK ELEM.,01,,MO-048071,2918300,MO-048071-5060048071,291830002311,2902311,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HIGHLAND PARK ELEM.,01,,MO-048071,2918300,MO-048071-5060048071,291830002311,2902311,Free and Reduced-price Lunch Table,Free lunch qualified,28,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HIGHLAND PARK ELEM.,01,,MO-048071,2918300,MO-048071-5060048071,291830002311,2902311,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,17,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREAT BEGINNINGS EARLY ED CTR.,01,,MO-048071,2918300,MO-048071-7500048071,291830002612,2902612,Free and Reduced-price Lunch Table,No Category Codes,69,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GREAT BEGINNINGS EARLY ED CTR.,01,,MO-048071,2918300,MO-048071-7500048071,291830002612,2902612,Direct Certification,Not Applicable,43,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GREAT BEGINNINGS EARLY ED CTR.,01,,MO-048071,2918300,MO-048071-7500048071,291830002612,2902612,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREAT BEGINNINGS EARLY ED CTR.,01,,MO-048071,2918300,MO-048071-7500048071,291830002612,2902612,Free and Reduced-price Lunch Table,Free lunch qualified,69,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GREAT BEGINNINGS EARLY ED CTR.,01,,MO-048071,2918300,MO-048071-7500048071,291830002612,2902612,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HILLTOP SCHOOL,01,,MO-048071,2918300,MO-048071-1015048071,291830002614,2902614,Free and Reduced-price Lunch Table,No Category Codes,5,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HILLTOP SCHOOL,01,,MO-048071,2918300,MO-048071-1015048071,291830002614,2902614,Direct Certification,Not Applicable,3,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HILLTOP SCHOOL,01,,MO-048071,2918300,MO-048071-1015048071,291830002614,2902614,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HILLTOP SCHOOL,01,,MO-048071,2918300,MO-048071-1015048071,291830002614,2902614,Free and Reduced-price Lunch Table,Free lunch qualified,4,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HILLTOP SCHOOL,01,,MO-048071,2918300,MO-048071-1015048071,291830002614,2902614,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,1,Category Set A,Reported
