SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,LEA Administrators,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Librarians/media specialists,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Paraprofessionals/Instructional Aides,32.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Pre-kindergarten Teachers,10.42,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Administrative Support Staff,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School administrators,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Counselors,4.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Psychologists,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Secondary Teachers,8.92,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Student Support Services Staff (w/o Psychology),26.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Guidance Counselors,4.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,LEA Staff,17.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Other Staff,37.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,School Staff,71.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,Teachers,136.01,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Fort Leavenworth,01,,KS-D0207,2006330,No Category Codes,265.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,All Other Support Staff,100.30,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Elementary Teachers,268.40,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Instructional Coordinators and Supervisors to the Staff,4.03,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Kindergarten Teachers,57.75,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,LEA Administrative Support Staff,14.10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,LEA Administrators,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Librarians/media specialists,7.67,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Library/Media Support Staff,0.70,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Paraprofessionals/Instructional Aides,141.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Pre-kindergarten Teachers,20.53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,School Administrative Support Staff,16.60,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,School administrators,18.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,School Counselors,16.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,School Psychologists,7.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Secondary Teachers,118.78,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Student Support Services Staff (w/o Psychology),41.20,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Guidance Counselors,16.50,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,LEA Staff,20.13,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Other Staff,100.30,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,School Staff,232.17,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,Teachers,465.46,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Gardner Edgerton,01,,KS-D0231,2006420,No Category Codes,834.57,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,All Other Support Staff,780.50,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Elementary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Elementary Teachers,787.53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Instructional Coordinators and Supervisors to the Staff,120.96,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Kindergarten Teachers,201.25,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,LEA Administrative Support Staff,95.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,LEA Administrators,3.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Librarians/media specialists,10.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Library/Media Support Staff,26.80,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Paraprofessionals/Instructional Aides,268.80,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Pre-kindergarten Teachers,46.58,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,School Administrative Support Staff,91.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,School administrators,76.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,School Counselors,69.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,School Psychologists,2.00,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Secondary School Counselors,,Category Set A,Missing
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Secondary Teachers,364.20,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Student Support Services Staff (w/o Psychology),343.30,Category Set A,Reported
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Guidance Counselors,69.00,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,LEA Staff,218.96,Derived - Major Staffing Category,Derived
2024-2025,20,KANSAS,KS,Kansas City,01,,KS-D0500,2007950,Other Staff,780.50,Derived - Major Staffing Category,Derived
