SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Richard Warren Middle School,01,,KS-D0453,2008430,KS-D0453-7033,200843002030,2002030,31.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,David Brewer Elementary,01,,KS-D0453,2008430,KS-D0453-7031,200843002036,2002036,23.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Richard Warren Intermediate School,01,,KS-D0453,2008430,KS-D0453-7046,200843002115,2002115,26.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Earl Lawson Early Education Center,01,,KS-D0453,2008430,KS-D0453-7047,200843002157,2002157,21.49,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Broadmoor Elementary,01,,KS-D0416,2008970,KS-D0416-5970,200897000982,2000982,23.54,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Louisburg High,01,,KS-D0416,2008970,KS-D0416-5972,200897000983,2000983,36.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Louisburg Middle,01,,KS-D0416,2008970,KS-D0416-5978,200897001638,2001638,25.15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rockville Elementary School,01,,KS-D0416,2008970,KS-D0416-5980,200897001911,2001911,25.69,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Louisburg Virtual Program,01,,KS-D0416,2008970,KS-D0416-5973,200897002153,2002153,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Olathe East Sr High,01,,KS-D0233,2010140,KS-D0233-0885,201014000040,2000040,127.75,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Central Elem,01,,KS-D0233,2010140,KS-D0233-0850,201014000130,2000130,22.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Fairview Elem,01,,KS-D0233,2010140,KS-D0233-0852,201014000131,2000131,23.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Ridgeview Elem,01,,KS-D0233,2010140,KS-D0233-0854,201014000132,2000132,26.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Washington Elem,01,,KS-D0233,2010140,KS-D0233-0858,201014000133,2000133,40.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Westview Elem,01,,KS-D0233,2010140,KS-D0233-0860,201014000134,2000134,18.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Santa Fe Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0861,201014000135,2000135,57.68,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Oregon Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0862,201014000136,2000136,55.54,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Olathe North Sr High,01,,KS-D0233,2010140,KS-D0233-0864,201014000137,2000137,140.63,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Meadow Lane Elem,01,,KS-D0233,2010140,KS-D0233-0868,201014000140,2000140,23.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,35.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,21.30,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,22.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,21.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,25.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,27.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,23.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,47.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,25.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,29.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,22.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,45.85,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,26.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,50.13,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,117.43,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,24.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,21.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,28.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,25.95,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,52.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,22.80,Education Unit Total,Reported
