dimension,period,start_year,end_year,enrollment_start,enrollment_end,enrollment_change_abs,enrollment_change_pct,teacher_fte_start,teacher_fte_end,teacher_fte_change_abs,teacher_fte_change_pct,ratio_start,ratio_end,ratio_change_abs,ratio_change_pct,para_fte_start,para_fte_end,para_fte_change_abs,para_fte_change_pct,combined_ratio_start,combined_ratio_end,combined_ratio_change_abs,combined_ratio_change_pct,accounting_decomposition
Grade_High,Full_Decade_2014_to_2024,2014-2015,2024-2025,91275,102092,10817,11.85,5626.56,6682.01,1055.45,18.76,16.22,15.28,-0.94,-5.82,,,,,,,,,Staffing Outpaced Enrollment Growth
Grade_High,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,91275,99547,8272,9.06,5626.56,6275.84,649.28,11.54,16.22,15.86,-0.36,-2.22,,,,,,,,,Staffing Outpaced Enrollment Growth
Grade_High,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,99547,101083,1536,1.54,6275.84,6207.54,-68.3,-1.09,15.86,16.28,0.42,2.66,,,,,,,,,Mixed
Grade_High,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,101083,102092,1009,1.0,6207.54,6682.01,474.47,7.64,16.28,15.28,-1.01,-6.17,,,,,,,,,Staffing Expansion
Distance_Core_Under_5mi,Full_Decade_2014_to_2024,2014-2015,2024-2025,32419,35595,3176,9.8,2166.82,2606.04,439.22,20.27,14.96,13.66,-1.3,-8.71,,,,,,,,,Staffing Expansion
Distance_Core_Under_5mi,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,32419,34338,1919,5.92,2166.82,2431.54,264.72,12.22,14.96,14.12,-0.84,-5.61,,,,,,,,,Staffing Expansion
Distance_Core_Under_5mi,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,34338,33184,-1154,-3.36,2431.54,2479.67,48.13,1.98,14.12,13.38,-0.74,-5.24,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Distance_Core_Under_5mi,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,33184,35595,2411,7.27,2479.67,2606.04,126.37,5.1,13.38,13.66,0.28,2.06,,,,,,,,,Staffing Outpaced Enrollment Growth
Distance_Inner_5_to_10mi,Full_Decade_2014_to_2024,2014-2015,2024-2025,64452,64085,-367,-0.57,4173.69,4554.35,380.66,9.12,15.44,14.07,-1.37,-8.88,,,,,,,,,Staffing Expansion
Distance_Inner_5_to_10mi,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,64452,65082,630,0.98,4173.69,4396.65,222.96,5.34,15.44,14.8,-0.64,-4.14,,,,,,,,,Staffing Expansion
Distance_Inner_5_to_10mi,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,65082,64205,-877,-1.35,4396.65,4504.54,107.89,2.45,14.8,14.25,-0.55,-3.71,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Distance_Inner_5_to_10mi,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,64205,64085,-120,-0.19,4504.54,4554.35,49.81,1.11,14.25,14.07,-0.18,-1.28,,,,,,,,,Staffing Expansion
Distance_Suburban_10_to_20mi,Full_Decade_2014_to_2024,2014-2015,2024-2025,150321,145071,-5250,-3.49,9543.5,10202.79,659.29,6.91,15.75,14.22,-1.53,-9.73,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Distance_Suburban_10_to_20mi,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,150321,151580,1259,0.84,9543.5,9902.96,359.46,3.77,15.75,15.31,-0.44,-2.82,,,,,,,,,Staffing Expansion
Distance_Suburban_10_to_20mi,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,151580,147656,-3924,-2.59,9902.96,9658.12,-244.84,-2.47,15.31,15.29,-0.02,-0.12,,,,,,,,,Mixed
Distance_Suburban_10_to_20mi,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,147656,145071,-2585,-1.75,9658.12,10202.79,544.67,5.64,15.29,14.22,-1.07,-7.0,,,,,,,,,Staffing Expansion
Distance_Outer_Over_20mi,Full_Decade_2014_to_2024,2014-2015,2024-2025,78829,78437,-392,-0.5,5307.14,5815.05,507.91,9.57,14.85,13.49,-1.36,-9.19,,,,,,,,,Staffing Expansion
Distance_Outer_Over_20mi,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,78829,81190,2361,3.0,5307.14,5610.96,303.82,5.72,14.85,14.47,-0.38,-2.58,,,,,,,,,Staffing Outpaced Enrollment Growth
Distance_Outer_Over_20mi,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,81190,78611,-2579,-3.18,5610.96,5650.87,39.91,0.71,14.47,13.91,-0.56,-3.86,,,,,,,,,Enrollment Contraction
